design,wafer,die,block,material,structure,x,y
AgAgCl_TS_Kelvin_R2,0,3,1,Pt,LW300,1020,17340
AgAgCl_TS_Kelvin_R2,0,3,1,Pt,LW600,1980,17340
AgAgCl_TS_Kelvin_R2,0,3,1,Pt,GC20_SC300,2940,17340
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Cl,LW300,1020,16860
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Cl,LW600,1980,16860
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Cl,GC20_SC300,2940,16860
AgAgCl_TS_Kelvin_R2,0,3,1,Ag,LW300,1020,16380
AgAgCl_TS_Kelvin_R2,0,3,1,Ag,LW600,1980,16380
AgAgCl_TS_Kelvin_R2,0,3,1,Ag,GC20_SC300,2940,16380
AgAgCl_TS_Kelvin_R2,0,3,1,Ag_Cl,LW300,1020,15900
AgAgCl_TS_Kelvin_R2,0,3,1,Ag_Cl,LW600,1980,15900
AgAgCl_TS_Kelvin_R2,0,3,1,Ag_Cl,GC20_SC300,2940,15900
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag,LW300,1020,15420
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag,LW600,1980,15420
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag,GC20_SC300,2940,15420
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag_Cl,LW300,1020,14940
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag_Cl,LW600,1980,14940
AgAgCl_TS_Kelvin_R2,0,3,1,Pt_Ag_Cl,GC20_SC300,2940,14940
AgAgCl_TS_Kelvin_R2,0,3,2,Pt,LW300,4860,17340
AgAgCl_TS_Kelvin_R2,0,3,2,Pt,LW600,5820,17340
AgAgCl_TS_Kelvin_R2,0,3,2,Pt,GC20_SC300,6780,17340
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Cl,LW300,4860,16860
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Cl,LW600,5820,16860
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Cl,GC20_SC300,6780,16860
AgAgCl_TS_Kelvin_R2,0,3,2,Ag,LW300,4860,16380
AgAgCl_TS_Kelvin_R2,0,3,2,Ag,LW600,5820,16380
AgAgCl_TS_Kelvin_R2,0,3,2,Ag,GC20_SC300,6780,16380
AgAgCl_TS_Kelvin_R2,0,3,2,Ag_Cl,LW300,4860,15900
AgAgCl_TS_Kelvin_R2,0,3,2,Ag_Cl,LW600,5820,15900
AgAgCl_TS_Kelvin_R2,0,3,2,Ag_Cl,GC20_SC300,6780,15900
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag,LW300,4860,15420
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag,LW600,5820,15420
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag,GC20_SC300,6780,15420
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag_Cl,LW300,4860,14940
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag_Cl,LW600,5820,14940
AgAgCl_TS_Kelvin_R2,0,3,2,Pt_Ag_Cl,GC20_SC300,6780,14940
AgAgCl_TS_Kelvin_R2,0,3,3,Pt,LW300,8700,17340
AgAgCl_TS_Kelvin_R2,0,3,3,Pt,LW600,9660,17340
AgAgCl_TS_Kelvin_R2,0,3,3,Pt,GC20_SC300,10620,17340
AgAgCl_TS_Kelvin_R2,0,3,3,Pt_Cl,LW300,8700,16860
AgAgCl_TS_Kelvin_R2,0,3,3,Pt_Cl,LW600,9660,16860
AgAgCl_TS_Kelvin_R2,0,3,3,Pt_Cl,GC20_SC300,10620,16860
AgAgCl_TS_Kelvin_R2,0,3,3,Ag,LW300,8700,16380
AgAgCl_TS_Kelvin_R2,0,3,3,Ag,LW600,9660,16380
AgAgCl_TS_Kelvin_R2,0,3,3,Ag,GC20_SC300,10620,16380
AgAgCl_TS_Kelvin_R2,0,3,3,Ag_Cl,LW300,8700,15900
AgAgCl_TS_Kelvin_R2,0,3,3,Ag_Cl,LW600,9660,15900
AgAgCl_TS_Kelvin_R2,0,3,3,Ag_Cl,GC20_SC300,10620,15900
AgAgCl_TS_Kelvin_R2,0,3,3,Pt_Ag,LW300,8700,15420
